Case_ID,Activity,Timestamp,User,Details
#23,Issue Created,2026-02-10 09:23:15,alexchen,"Feature: Add user authentication"
#18,Issue Created,2026-02-10 09:45:22,sarahm,"Bug: Login page crashes on mobile"
#23,Issue Assigned,2026-02-10 10:12:08,alexchen,Assigned to alexchen
#18,Issue Assigned,2026-02-10 10:15:33,johndoe,Assigned to johndoe
#15,Merge Request Created,2026-02-10 10:30:47,emilyw,"MR: Update documentation"
#23,Commit,2026-02-10 11:05:12,alexchen,"feat: Add login form validation"
#18,Commit,2026-02-10 11:22:36,johndoe,"fix: Add null check for mobile viewport"
#15,Merge Review Requested,2026-02-10 11:45:19,emilyw,Requested review from team-leads
#23,Commit,2026-02-10 12:14:52,alexchen,"feat: Implement JWT token handling"
#18,Comment,2026-02-10 12:30:05,sarahm,"Can we also fix the styling on the error message?"
#15,Merge Review Approved,2026-02-10 13:15:42,reviewer1,Approved with suggestions
#21,Issue Created,2026-02-10 13:22:18,mikeb,"Feature: Add dark mode support"
#23,Merge Request Created,2026-02-10 13:45:33,alexchen,"MR: User authentication feature"
#18,Commit,2026-02-10 14:02:17,johndoe,"style: Update error message styling"
#21,Issue Assigned,2026-02-10 14:15:44,emilyw,Assigned to emilyw
#15,Merge Request Merged,2026-02-10 14:30:29,maintainer,"Merged: Update documentation"
#23,Merge Review Requested,2026-02-10 14:48:53,alexchen,Requested review from security-team
#18,Merge Request Created,2026-02-10 15:05:41,johndoe,"MR: Mobile login crash fix"
#21,Commit,2026-02-10 15:22:18,emilyw,"feat: Add dark mode CSS variables"
#23,Merge Review Failed,2026-02-10 15:45:32,security-review,"Failed: Security concerns with token storage"
#18,Merge Review Requested,2026-02-10 16:02:47,johndoe,Requested review from ui-team
#21,Commit,2026-02-10 16:18:24,emilyw,"feat: Implement dark mode toggle"
#23,Comment,2026-02-10 16:35:51,security-review,"Please use HTTP-only cookies instead of localStorage"
#18,Merge Review Approved,2026-02-10 16:52:13,ui-review,"Approved: UI changes look good"
#25,Issue Created,2026-02-10 17:05:39,tomb,"Feature: Add export functionality"
#23,Commit,2026-02-11 09:12:45,alexchen,"fix: Switch to HTTP-only cookies for token storage"
#18,Merge Request Merged,2026-02-11 09:30:22,maintainer,"Merged: Mobile login crash fix"
#21,Merge Request Created,2026-02-11 09:48:56,emilyw,"MR: Dark mode feature"
#23,Comment,2026-02-11 10:05:33,alexchen,"Updated to use HTTP-only cookies as suggested"
#25,Issue Assigned,2026-02-11 10:22:47,mikeb,Assigned to mikeb
#21,Merge Review Requested,2026-02-11 10:40:12,emilyw,Requested review from design-team
#23,Merge Review Requested,2026-02-11 11:15:28,alexchen,Requested re-review from security-team
#25,Commit,2026-02-11 11:32:44,mikeb,"feat: Add CSV export functionality"
#21,Merge Review Approved,2026-02-11 11:50:19,design-review,"Approved: Design looks consistent"
#23,Merge Review Approved,2026-02-11 12:22:36,security-review,"Approved: Token storage now secure"
#25,Commit,2026-02-11 12:45:53,mikeb,"feat: Add PDF export option"
#23,Merge Request Merged,2026-02-11 13:15:27,maintainer,"Merged: User authentication feature"
#21,Issue Closed,2026-02-11 13:30:44,emilyw,"Closed: Dark mode implemented"
#25,Merge Request Created,2026-02-11 13:48:32,mikeb,"MR: Export functionality"
#18,Issue Closed,2026-02-11 14:05:19,johndoe,"Closed: Bug fixed and verified"
#25,Merge Review Requested,2026-02-11 14:22:45,mikeb,Requested review from team-leads
#23,Issue Closed,2026-02-11 14:40:08,alexchen,"Closed: Feature completed and merged"
#25,Merge Review Approved,2026-02-11 15:15:33,reviewer2,"Approved: Export works as expected"
#25,Merge Request Merged,2026-02-11 15:45:17,maintainer,"Merged: Export functionality"
#25,Issue Closed,2026-02-11 16:10:42,mikeb,"Closed: Feature completed"
